"Collection Name","Primary Contact","Mailing Address 1","Mailing Address 2","Mailing Address 3","City/Town","State/Province","Postal/Zip Code","Country"
"Amphibian and reptile specimens","Carol Spencer","Museum of Vertebrate Zoology","3101 Valley Life Sciences Building","University of California","Berkeley","CA","94720-3160","USA"
"Herpetology",,,,,,,,
"Herpetology",,"California Academy of Sciences","55 Music Concourse Drive",,"San Francisco","CA","94118","USA"
"Herpetology",,"Department of Natural History","100 Queen's Park",,"Toronto","Ontario","M5S 2C6","Canada"
"Herpetology - Donald Thompson Collection",,,,,,,,
"Herpetology Collection",,"Santa Barbara Museum of Natural History","2559 Puesta del Sol",,"Santa Barbara","CA","93105","USA"
"Amphibian and Reptile Collection","Alan Resetar","The Field Museum of Natural History","1400 S. Lake Shore Drive",,"Chicago","IL","60605-2496","USA"
"Herpetology","José Rosado","Harvard University","Museum of Comparative Zoology","26 Oxford Street","Cambridge","MA","02138","USA"
"Herpetology Collection",,"Portland State University","Museum of Vertebrate Biology","P.O. Box 751","Portland","OR","97207-0751","USA"
"Herpetology Collection","Rafe Brown","Biodiversity Institute","Dyche Hall","1345 Jayhawk Boulevard","Lawrence","KS","66045","USA"
"Herpetology Research Collection",,"Michigan State University Museum","Division of Natural Sciences","West Circle Drive","East Lansing","MI","48824-1045","USA"
"Heteroptera",,,,,,,,
"Hirudinea",,"Ege University","Faculty of Fisheries","Department of Hydrobiology","Bornova","Izmir","35100","Turkey"
"Hydrobiological Collection",,"Limnoloogiakeskus",,,"Rannu","Tartumaa","61117","Estonia"
"Hygrobatidae",,,,,,,,
"Hymenoptera",,,,,,,,
"Hymenoptera",,,,,,,,
"Ichthyology",,,,,,,,
"Ichthyology Collection",,"Santa Barbara Museum of Natural History","2559 Puesta del Sol",,"Santa Barbara","CA","93105","USA"
"Ichthyology Collection",,"907 Yukon Drive",,"University of Alaska Museum of the North","Fairbanks","AK","99775","USA"
"Fish Collections","Caleb McMahan","The Field Museum of Natural History","1400 S Lake Shore Drive",,"Chicago","IL","60605-2496","USA"
"Ichthyology Collection","Andrew C Bentley","Biodiversity Institute","Dyche Hall","1345 Jayhawk Boulevard","Lawrence","KS","66045","USA"
"Ichthyology Research Collection",,"Michigan State University Museum","Division of Natural Sciences","West Circle Drive","East Lansing","MI","48824-1045","USA"
"Ichthyology Tissue Collection","Andrew C Bentley","Natural History Museum and Biodiversity Research Center","Dyche Hall","1345 Jayhawk Boulevard","Lawrence","KS","66045","USA"
"Indiana University (fish)",,"California Academy of Sciences","55 Music Concourse Drive",,"San Francisco","CA","94118","USA"
"Insect Collection",,"615 McCallie Ave Dept. 2653",,,"Chattanooga","TN","37403","USA"
"Insect Fungal Pathogen Collection",,"GPO Box 1700",,,"Canberra","ACT","2601","Australia"
"Insecta",,,,,,,,
"Insecta",,"Ege University","Faculty of Fisheries","Department of Hydrobiology","Bornova","Izmir","35100","Turkey"
"Insecta",,,,,,,,
"Insecta sensu lato collections",,"Postbus 9517",,,"Leiden","Zuid-Holland","2300 RA","Netherlands"
"Insects",,"Manchester Museum","University of Manchester","Oxford Road","Manchester","England","M13 9PL","United Kingdom"
"International Collection of Micro-organisms from Plants","Bevan Weir","ICMP Culture Collection","Landcare Research","Private Bag 92170, Auckland Mail Centre","Auckland","Not Applicable","1142","New Zealand"
"Invertebrate Collection",,,,,,,,
"Invertebrate Collection","Jochen Gerber","The Field Museum of Natural History","1400 S. Lake Shore Drive",,"Chicago","IL","60605-2496","USA"
"Invertebrate Paleontology Collection","Una Farrell","Biodiversity Institute","Lindley Hall, Room 6","1475 Jayhawk Boulevard","Lawrence","KS","66045","USA"
"Invertebrate Zoology","Holly Bolick","Invertebrate Zoology","Bishop Museum","1525 Bernice Street","Honolulu","Hawaii","96817","USA"
"Invertebrate Zoology",,"California Academy of Sciences","55 Music Concourse Drive",,"San Francisco","CA","94118","USA"
"Invertebrate Zoology",,"Department of Natural History","100 Queen's Park",,"Toronto","Ontario","M5S 2C6","Canada"
"Invertebrate Zoology Collection","Daphne Fautin","1200 Sunnyside Drive","Haworth Hall","University of Kansas","Lawrence","KS","66045","USA"
"Invertebrates",,"Manchester Museum","University of Manchester","Oxford Road","Manchester","England","M13 9PL","United Kingdom"
"Invertebrates Collection",,,,,,,,
"Isopoda",,,,,,,,
"Isoptera",,,,,,,,
"Isoptera",,,,,,,,
"Jepson Herbarium",,"Jepson Herbarium","University of California","1001 Valley Life Sciences Building #2465","Berkeley","CA","94720-2465","USA"
"John M. Tucker Herbarium Collection",,"UC Davis Center for Plant Diversity","Plant Sciences MS#7","One Shields Avenue","Davis","CA","95616-8780","USA"
"Julida",,,,,,,,
"Lepidoptera",,,,,,,,
"Lepidoptera",,"Colorado State University","Department of Bioagricultural Sciences and Pest Management",,"Fort Collins","Colorado","80523","USA"
"Lepidoptera",,"Zoologische Staatssammlung Muenchen","Die Sektion Lepidoptera","Muenchhausenstrasse 21","81247 Muenchen",,,"Germany"
"Lepidoptera",,,,,,,,
"Lepidoptera",,"Lars Thorings vei 10",,,"Tromso","Troms","9037","Norway"
"Lepidopteros",,"El Colegio de la Frontera Sur","Museo de Zoologia","Av. Centenario Kn 5.5, C.P.","Chetumal","Q.R.","77014","Mexico"
"Lithobiida",,,,,,,,
"Live Culture Collection",,"National Collection of Fungi","Biosystematics Division, ARC-PPRI","Private Bag x134","Pretoria","Gauteng Province","121","South Africa"
"Malacostraca (Freshwater)",,"Ege University","Faculty of Fisheries","Department of Hydrobiology","Bornova","Izmir","35100","Turkey"
"Malacostraca (Marine)",,"Ege University","Faculty of Fisheries","Department of Hydrobiology","Bornova","Izmir","35100","Turkey"
"Mamiferos",,"El Colegio de la Frontera Sur","Museo de Zoologia","Av. Centenario km 5.5","Chetumal","Quintana Roo","77014","Mexico"
"Mammal collection",,"Postbus 9517,",,,"Leiden","Zuid-Holland","2300 RA","Netherlands"
"Mammal Collection",,,,,,,,
"Mammal Collection","Bill Stanley","The Field Museum of Natural History","1400 S. Lake Shore Drive",,"Chicago","IL",,"USA"
"Mammal Collection",,"Portland State University","Museum of Vertebrate Biology","P.O. Box 751","Portland","OR","97207-0751","USA"
"Mammal Collection, Museum of Southwestern Biology","Gordon Jarrell","Museum of Southwestern Biology","University of New Mexico",,"Albuquerque","New Mexico","87131-0001","USA"
"Mammal Research Collection",,"Michigan State University Museum","Division of Natural Sciences","West Circle Drive","East Lansing","MI","48824-1045","USA"
"Mammal Specimens","Christopher J. Conroy","Museum of Vertebrate Zoology","3101 Valley Life Sciences Building","University of California","Berkeley","CA","94720-3160","USA"
"Mammal Collection","Charles Dardia, Collections Manager","Cornell Univeristy Museum of Vertebrates","159 Sapsucker Woods Road",,"Ithaca","NY","14850-1923","USA"
"Mammalia",,,,,,,,
"Mammalia",,"Ege University","Faculty of Fisheries","Department of Hydrobiology","Bornova","Izmir","35100","Turkey"
"Mammalogy",,,,,,,,
"Mammalogy",,"California Academy of Sciences","55 Music Concourse Drive",,"San Francisco","CA","94118","USA"
"Mammalogy",,"Department of Natural History",,"100 Queen's Park","Toronto","Ontario","M5S 2C6","Canada"
"Mammalogy Collection","Robert Timm","Biodiversity Institute","Dyche Hall","1345 Jayhawk Boulevard","Lawrence","KS","66045","USA"
